tier,policy,workload,returncode,status,output_dir,result_csv,tier_stats_json,stdout_log
cpu_dram,harp,sharegpt_750,0,ok,/home/marvell/LLMServingSim/output/tiered_kv/tier_policy_matrix/cpu_dram/harp/sharegpt_750,/home/marvell/LLMServingSim/output/tiered_kv/tier_policy_matrix/cpu_dram/harp/sharegpt_750/result.csv,/home/marvell/LLMServingSim/output/tiered_kv/tier_policy_matrix/cpu_dram/harp/sharegpt_750/result_tier_stats.json,/home/marvell/LLMServingSim/output/tiered_kv/tier_policy_matrix/cpu_dram/harp/sharegpt_750/output.txt
cpu_dram,harp,sharegpt_1000,0,ok,/home/marvell/LLMServingSim/output/tiered_kv/tier_policy_matrix/cpu_dram/harp/sharegpt_1000,/home/marvell/LLMServingSim/output/tiered_kv/tier_policy_matrix/cpu_dram/harp/sharegpt_1000/result.csv,/home/marvell/LLMServingSim/output/tiered_kv/tier_policy_matrix/cpu_dram/harp/sharegpt_1000/result_tier_stats.json,/home/marvell/LLMServingSim/output/tiered_kv/tier_policy_matrix/cpu_dram/harp/sharegpt_1000/output.txt
cpu_dram,harp,sharegpt_1500,0,ok,/home/marvell/LLMServingSim/output/tiered_kv/tier_policy_matrix/cpu_dram/harp/sharegpt_1500,/home/marvell/LLMServingSim/output/tiered_kv/tier_policy_matrix/cpu_dram/harp/sharegpt_1500/result.csv,/home/marvell/LLMServingSim/output/tiered_kv/tier_policy_matrix/cpu_dram/harp/sharegpt_1500/result_tier_stats.json,/home/marvell/LLMServingSim/output/tiered_kv/tier_policy_matrix/cpu_dram/harp/sharegpt_1500/output.txt
cpu_dram,largest_kv,sharegpt_750,0,ok,/home/marvell/LLMServingSim/output/tiered_kv/tier_policy_matrix/cpu_dram/largest_kv/sharegpt_750,/home/marvell/LLMServingSim/output/tiered_kv/tier_policy_matrix/cpu_dram/largest_kv/sharegpt_750/result.csv,/home/marvell/LLMServingSim/output/tiered_kv/tier_policy_matrix/cpu_dram/largest_kv/sharegpt_750/result_tier_stats.json,/home/marvell/LLMServingSim/output/tiered_kv/tier_policy_matrix/cpu_dram/largest_kv/sharegpt_750/output.txt
cpu_dram,largest_kv,sharegpt_1000,0,ok,/home/marvell/LLMServingSim/output/tiered_kv/tier_policy_matrix/cpu_dram/largest_kv/sharegpt_1000,/home/marvell/LLMServingSim/output/tiered_kv/tier_policy_matrix/cpu_dram/largest_kv/sharegpt_1000/result.csv,/home/marvell/LLMServingSim/output/tiered_kv/tier_policy_matrix/cpu_dram/largest_kv/sharegpt_1000/result_tier_stats.json,/home/marvell/LLMServingSim/output/tiered_kv/tier_policy_matrix/cpu_dram/largest_kv/sharegpt_1000/output.txt
cpu_dram,largest_kv,sharegpt_1500,0,ok,/home/marvell/LLMServingSim/output/tiered_kv/tier_policy_matrix/cpu_dram/largest_kv/sharegpt_1500,/home/marvell/LLMServingSim/output/tiered_kv/tier_policy_matrix/cpu_dram/largest_kv/sharegpt_1500/result.csv,/home/marvell/LLMServingSim/output/tiered_kv/tier_policy_matrix/cpu_dram/largest_kv/sharegpt_1500/result_tier_stats.json,/home/marvell/LLMServingSim/output/tiered_kv/tier_policy_matrix/cpu_dram/largest_kv/sharegpt_1500/output.txt
cpu_dram,lru,sharegpt_750,0,ok,/home/marvell/LLMServingSim/output/tiered_kv/tier_policy_matrix/cpu_dram/lru/sharegpt_750,/home/marvell/LLMServingSim/output/tiered_kv/tier_policy_matrix/cpu_dram/lru/sharegpt_750/result.csv,/home/marvell/LLMServingSim/output/tiered_kv/tier_policy_matrix/cpu_dram/lru/sharegpt_750/result_tier_stats.json,/home/marvell/LLMServingSim/output/tiered_kv/tier_policy_matrix/cpu_dram/lru/sharegpt_750/output.txt
cpu_dram,lru,sharegpt_1000,0,ok,/home/marvell/LLMServingSim/output/tiered_kv/tier_policy_matrix/cpu_dram/lru/sharegpt_1000,/home/marvell/LLMServingSim/output/tiered_kv/tier_policy_matrix/cpu_dram/lru/sharegpt_1000/result.csv,/home/marvell/LLMServingSim/output/tiered_kv/tier_policy_matrix/cpu_dram/lru/sharegpt_1000/result_tier_stats.json,/home/marvell/LLMServingSim/output/tiered_kv/tier_policy_matrix/cpu_dram/lru/sharegpt_1000/output.txt
cpu_dram,lru,sharegpt_1500,0,ok,/home/marvell/LLMServingSim/output/tiered_kv/tier_policy_matrix/cpu_dram/lru/sharegpt_1500,/home/marvell/LLMServingSim/output/tiered_kv/tier_policy_matrix/cpu_dram/lru/sharegpt_1500/result.csv,/home/marvell/LLMServingSim/output/tiered_kv/tier_policy_matrix/cpu_dram/lru/sharegpt_1500/result_tier_stats.json,/home/marvell/LLMServingSim/output/tiered_kv/tier_policy_matrix/cpu_dram/lru/sharegpt_1500/output.txt
cpu_dram,oldest,sharegpt_750,0,ok,/home/marvell/LLMServingSim/output/tiered_kv/tier_policy_matrix/cpu_dram/oldest/sharegpt_750,/home/marvell/LLMServingSim/output/tiered_kv/tier_policy_matrix/cpu_dram/oldest/sharegpt_750/result.csv,/home/marvell/LLMServingSim/output/tiered_kv/tier_policy_matrix/cpu_dram/oldest/sharegpt_750/result_tier_stats.json,/home/marvell/LLMServingSim/output/tiered_kv/tier_policy_matrix/cpu_dram/oldest/sharegpt_750/output.txt
cpu_dram,oldest,sharegpt_1000,0,ok,/home/marvell/LLMServingSim/output/tiered_kv/tier_policy_matrix/cpu_dram/oldest/sharegpt_1000,/home/marvell/LLMServingSim/output/tiered_kv/tier_policy_matrix/cpu_dram/oldest/sharegpt_1000/result.csv,/home/marvell/LLMServingSim/output/tiered_kv/tier_policy_matrix/cpu_dram/oldest/sharegpt_1000/result_tier_stats.json,/home/marvell/LLMServingSim/output/tiered_kv/tier_policy_matrix/cpu_dram/oldest/sharegpt_1000/output.txt
cpu_dram,oldest,sharegpt_1500,0,ok,/home/marvell/LLMServingSim/output/tiered_kv/tier_policy_matrix/cpu_dram/oldest/sharegpt_1500,/home/marvell/LLMServingSim/output/tiered_kv/tier_policy_matrix/cpu_dram/oldest/sharegpt_1500/result.csv,/home/marvell/LLMServingSim/output/tiered_kv/tier_policy_matrix/cpu_dram/oldest/sharegpt_1500/result_tier_stats.json,/home/marvell/LLMServingSim/output/tiered_kv/tier_policy_matrix/cpu_dram/oldest/sharegpt_1500/output.txt
cpu_dram,random,sharegpt_750,0,ok,/home/marvell/LLMServingSim/output/tiered_kv/tier_policy_matrix/cpu_dram/random/sharegpt_750,/home/marvell/LLMServingSim/output/tiered_kv/tier_policy_matrix/cpu_dram/random/sharegpt_750/result.csv,/home/marvell/LLMServingSim/output/tiered_kv/tier_policy_matrix/cpu_dram/random/sharegpt_750/result_tier_stats.json,/home/marvell/LLMServingSim/output/tiered_kv/tier_policy_matrix/cpu_dram/random/sharegpt_750/output.txt
cpu_dram,random,sharegpt_1000,0,ok,/home/marvell/LLMServingSim/output/tiered_kv/tier_policy_matrix/cpu_dram/random/sharegpt_1000,/home/marvell/LLMServingSim/output/tiered_kv/tier_policy_matrix/cpu_dram/random/sharegpt_1000/result.csv,/home/marvell/LLMServingSim/output/tiered_kv/tier_policy_matrix/cpu_dram/random/sharegpt_1000/result_tier_stats.json,/home/marvell/LLMServingSim/output/tiered_kv/tier_policy_matrix/cpu_dram/random/sharegpt_1000/output.txt
cpu_dram,random,sharegpt_1500,0,ok,/home/marvell/LLMServingSim/output/tiered_kv/tier_policy_matrix/cpu_dram/random/sharegpt_1500,/home/marvell/LLMServingSim/output/tiered_kv/tier_policy_matrix/cpu_dram/random/sharegpt_1500/result.csv,/home/marvell/LLMServingSim/output/tiered_kv/tier_policy_matrix/cpu_dram/random/sharegpt_1500/result_tier_stats.json,/home/marvell/LLMServingSim/output/tiered_kv/tier_policy_matrix/cpu_dram/random/sharegpt_1500/output.txt
cpu_dram,smallest_kv,sharegpt_750,0,ok,/home/marvell/LLMServingSim/output/tiered_kv/tier_policy_matrix/cpu_dram/smallest_kv/sharegpt_750,/home/marvell/LLMServingSim/output/tiered_kv/tier_policy_matrix/cpu_dram/smallest_kv/sharegpt_750/result.csv,/home/marvell/LLMServingSim/output/tiered_kv/tier_policy_matrix/cpu_dram/smallest_kv/sharegpt_750/result_tier_stats.json,/home/marvell/LLMServingSim/output/tiered_kv/tier_policy_matrix/cpu_dram/smallest_kv/sharegpt_750/output.txt
cpu_dram,smallest_kv,sharegpt_1000,0,ok,/home/marvell/LLMServingSim/output/tiered_kv/tier_policy_matrix/cpu_dram/smallest_kv/sharegpt_1000,/home/marvell/LLMServingSim/output/tiered_kv/tier_policy_matrix/cpu_dram/smallest_kv/sharegpt_1000/result.csv,/home/marvell/LLMServingSim/output/tiered_kv/tier_policy_matrix/cpu_dram/smallest_kv/sharegpt_1000/result_tier_stats.json,/home/marvell/LLMServingSim/output/tiered_kv/tier_policy_matrix/cpu_dram/smallest_kv/sharegpt_1000/output.txt
cpu_dram,smallest_kv,sharegpt_1500,0,ok,/home/marvell/LLMServingSim/output/tiered_kv/tier_policy_matrix/cpu_dram/smallest_kv/sharegpt_1500,/home/marvell/LLMServingSim/output/tiered_kv/tier_policy_matrix/cpu_dram/smallest_kv/sharegpt_1500/result.csv,/home/marvell/LLMServingSim/output/tiered_kv/tier_policy_matrix/cpu_dram/smallest_kv/sharegpt_1500/result_tier_stats.json,/home/marvell/LLMServingSim/output/tiered_kv/tier_policy_matrix/cpu_dram/smallest_kv/sharegpt_1500/output.txt
cpu_dram,tail,sharegpt_750,0,ok,/home/marvell/LLMServingSim/output/tiered_kv/tier_policy_matrix/cpu_dram/tail/sharegpt_750,/home/marvell/LLMServingSim/output/tiered_kv/tier_policy_matrix/cpu_dram/tail/sharegpt_750/result.csv,/home/marvell/LLMServingSim/output/tiered_kv/tier_policy_matrix/cpu_dram/tail/sharegpt_750/result_tier_stats.json,/home/marvell/LLMServingSim/output/tiered_kv/tier_policy_matrix/cpu_dram/tail/sharegpt_750/output.txt
